"","Date","Close.Last","Volume","Open","High","Low","change","change_cat","moon","slash","plus","star","two","lunar","solar","flare"
"1",2024-03-28,15.35,36396040,15.28,"$15.495","$15.125",-0.0700000000000003,0,0,0,0,0,0,0,0,0
"2",2024-03-27,15.3,24789340,15,"$15.30","$14.90",-0.300000000000001,0,0,0,0,0,0,0,0,0
"3",2024-03-26,14.92,20898510,14.99,"$15.12","$14.90",0.0700000000000003,1,0,0,0,0,0,0,0,0
"4",2024-03-25,14.92,21392360,14.69,"$14.93","$14.6299",-0.23,0,1,1,0,0,0,1,0,0
"5",2024-03-22,14.82,16151690,14.71,"$14.88","$14.645",-0.109999999999999,0,0,0,0,0,0,0,0,0
"6",2024-03-21,14.78,25527560,14.62,"$14.815","$14.60",-0.16,0,0,0,0,0,0,0,0,0
"7",2024-03-20,14.57,33974560,13.96,"$14.58","$13.92",-0.609999999999999,0,0,0,0,0,0,0,0,0
"8",2024-03-19,13.93,19305790,14.08,"$14.11","$13.90",0.15,1,0,0,0,0,0,0,0,0
"9",2024-03-18,14.11,23693800,13.98,"$14.17","$13.86",-0.129999999999999,0,0,0,0,0,0,0,0,0
"10",2024-03-15,13.96,21114000,13.96,"$14.16","$13.88",0,1,0,0,0,0,0,0,0,0
"11",2024-03-14,13.99,24683840,13.96,"$14.03","$13.78",-0.0299999999999994,0,0,0,0,0,0,0,0,0
"12",2024-03-13,14,26375200,13.92,"$14.18","$13.86",-0.0800000000000001,0,0,0,0,0,0,0,0,0
"13",2024-03-12,13.96,48594880,14.19,"$14.38","$13.80",0.229999999999999,1,0,0,0,0,0,0,0,0
"14",2024-03-11,14.65,23617160,14.6,"$14.67","$14.42",-0.0500000000000007,0,0,0,0,0,0,0,0,0
"15",2024-03-08,14.68,28464450,14.94,"$15.1482","$14.66",0.26,1,0,0,0,0,0,0,0,0
"16",2024-03-07,14.9,23657350,14.85,"$15.00","$14.81",-0.0500000000000007,0,0,0,0,0,0,0,0,0
"17",2024-03-06,14.88,31408710,14.8,"$14.98","$14.62",-0.0800000000000001,0,0,0,0,0,0,0,0,0
"18",2024-03-05,14.67,43648030,14.75,"$14.7657","$14.29",0.0800000000000001,1,0,0,0,0,0,0,0,0
"19",2024-03-04,14.81,65053050,15.7,"$16.15","$14.81",0.889999999999999,1,0,0,0,0,0,0,0,0
"20",2024-03-01,15.66,25751940,15.695,"$15.695","$15.374",0.0350000000000001,1,0,0,0,0,0,0,0,0
"21",2024-02-29,15.68,33255940,15.55,"$15.79","$15.45",-0.129999999999999,0,0,0,0,0,0,0,0,0
"22",2024-02-28,15.46,18194560,15.36,"$15.58","$15.31",-0.100000000000001,0,0,0,0,0,0,0,0,0
"23",2024-02-27,15.54,25223370,15.545,"$15.669","$15.38",0.00500000000000078,1,0,0,0,0,0,0,0,0
"24",2024-02-26,15.28,23675760,15.13,"$15.48","$15.13",-0.149999999999999,0,0,0,0,0,0,0,0,0
