"","Date","Close.Last","Volume","Open","High","Low","change","change_cat","moon","slash","plus","star","two","lunar","solar","flare"
"1",2024-03-28,454.87,1119541,456.8,"$457.11","$453.95",1.93000000000001,1,0,0,0,0,0,0,0,0
"2",2024-03-27,456.78,1277694,447.88,"$457.11","$447.86",-8.89999999999998,0,0,0,0,0,0,0,0,0
"3",2024-03-26,445.99,766716,446.5,"$448.62","$445.855",0.509999999999991,1,0,0,0,0,0,0,0,0
"4",2024-03-25,446.31,775124,447.86,"$448.55","$444.813",1.55000000000001,1,1,1,0,0,0,1,0,0
"5",2024-03-22,445.88,1008295,444.5,"$446.25","$443.67",-1.38,0,0,0,0,0,0,0,0,0
"6",2024-03-21,443.16,912244,441.36,"$443.89","$439.3301",-1.80000000000001,0,0,0,0,0,0,0,0,0
"7",2024-03-20,440.41,844995,437.03,"$440.958","$436.56",-3.38000000000005,0,0,0,0,0,0,0,0,0
"8",2024-03-19,437.19,898856,435.25,"$437.29","$433.98",-1.94,0,0,0,0,0,0,0,0,0
"9",2024-03-18,433.2,965427,435.82,"$436.09","$431.68",2.62,1,0,0,0,0,0,0,0,0
"10",2024-03-15,435.82,5151336,433.15,"$438.21","$433.15",-2.67000000000002,0,0,0,0,0,0,0,0,0
"11",2024-03-14,435.77,1153598,436.36,"$437.61","$433.30",0.590000000000032,1,0,0,0,0,0,0,0,0
"12",2024-03-13,434.6,987112,435.71,"$437.79","$433.74",1.10999999999996,1,0,0,0,0,0,0,0,0
"13",2024-03-12,434.91,825086,432.92,"$435.775","$432.35",-1.99000000000001,0,0,0,0,0,0,0,0,0
"14",2024-03-11,434.75,950995,434.31,"$436.01","$432.60",-0.439999999999998,0,0,0,0,0,0,0,0,0
"15",2024-03-08,432.9,763168,428.5,"$432.98","$427.57",-4.39999999999998,0,0,0,0,0,0,0,0,0
"16",2024-03-07,429.99,1086001,434,"$435.58","$429.48",4.00999999999999,1,0,0,0,0,0,0,0,0
"17",2024-03-06,433.48,775393,431.98,"$433.81","$430.915",-1.5,0,0,0,0,0,0,0,0,0
"18",2024-03-05,431.98,1038169,433.74,"$436.01","$429.76",1.75999999999999,1,0,0,0,0,0,0,0,0
"19",2024-03-04,431.94,1271868,428.57,"$433.88","$426.95",-3.37,0,0,0,0,0,0,0,0,0
"20",2024-03-01,426.46,1059046,427.9,"$428.91","$424.0001",1.44,1,0,0,0,0,0,0,0,0
