"","Date","Close.Last","Volume","Open","High","Low","change","change_cat","moon","slash","plus","star","two","lunar","solar","flare"
"1",2024-03-28,52.22,193446,51.92,"$52.35","$51.75",-0.299999999999997,0,0,0,0,0,0,0,0,0
"2",2024-03-27,51.97,138328,51.95,"$51.97","$51.87",-0.019999999999996,0,0,0,0,0,0,0,0,0
"3",2024-03-26,51.96,108319,52,"$52.00","$51.91",0.0399999999999991,1,0,0,0,0,0,0,0,0
"4",2024-03-25,51.98,127264,51.88,"$52.02","$51.8011",-0.0999999999999943,0,1,1,0,0,0,1,0,0
"5",2024-03-22,51.88,75197,51.94,"$51.95","$51.75",0.0599999999999952,1,0,0,0,0,0,0,0,0
"6",2024-03-21,51.8,88651,52.06,"$52.10","$51.80",0.260000000000005,1,0,0,0,0,0,0,0,0
"7",2024-03-20,51.95,137254,51.76,"$52.06","$51.72",-0.190000000000005,0,0,0,0,0,0,0,0,0
"8",2024-03-19,51.74,406715,51.73,"$51.80","$51.70",-0.0100000000000051,0,0,0,0,0,0,0,0,0
"9",2024-03-18,51.72,47008,51.69,"$51.75","$51.69",-0.0300000000000011,0,0,0,0,0,0,0,0,0
"10",2024-03-15,51.7,129652,51.59,"$51.75","$51.59",-0.109999999999999,0,0,0,0,0,0,0,0,0
"11",2024-03-14,51.73,76851,51.65,"$51.73","$51.615",-0.0799999999999983,0,0,0,0,0,0,0,0,0
"12",2024-03-13,51.71,87377,51.61,"$51.80","$51.57",-0.100000000000001,0,0,0,0,0,0,0,0,0
"13",2024-03-12,51.57,142144,51.57,"$51.765","$51.55",0,1,0,0,0,0,0,0,0,0
"14",2024-03-11,51.65,32278,51.54,"$51.74","$51.21",-0.109999999999999,0,0,0,0,0,0,0,0,0
"15",2024-03-08,51.59,43538,51.75,"$51.90","$51.51",0.159999999999997,1,0,0,0,0,0,0,0,0
"16",2024-03-07,51.54,123894,51.75,"$51.9799","$51.48",0.210000000000001,1,0,0,0,0,0,0,0,0
"17",2024-03-06,51.75,151884,51.5,"$51.90","$51.365",-0.25,0,0,0,0,0,0,0,0,0
"18",2024-03-05,51.4,154779,51.4,"$51.50","$51.36",0,1,0,0,0,0,0,0,0,0
"19",2024-03-04,51.42,107395,51.5,"$51.64","$51.42",0.0799999999999983,1,0,0,0,0,0,0,0,0
"20",2024-03-01,51.43,393669,51.34,"$51.56","$51.00",-0.0899999999999963,0,0,0,0,0,0,0,0,0
"21",2024-02-29,51.41,97746,51.5,"$51.52","$51.33",0.0900000000000034,1,0,0,0,0,0,0,0,0
"22",2024-02-28,51.31,181332,51.25,"$51.52","$51.09",-0.0600000000000023,0,0,0,0,0,0,0,0,0
"23",2024-02-27,51.5,80334,51.61,"$51.90","$51.25",0.109999999999999,1,0,0,0,0,0,0,0,0
"24",2024-02-26,51.71,67482,51.42,"$51.96","$51.37",-0.289999999999999,0,0,0,0,0,0,0,0,0
"25",2024-02-23,51.56,311041,51.2,"$51.66","$51.18",-0.359999999999999,0,0,0,0,0,0,0,0,0
"26",2024-02-22,51.19,194159,51.23,"$51.41","$51.12",0.0399999999999991,1,0,0,0,0,0,0,0,0
"27",2024-02-21,51.16,240853,51.24,"$51.32","$51.06",0.0800000000000054,1,0,0,0,0,0,0,0,0
"28",2024-02-20,51.23,248119,51.26,"$51.385","$51.19",0.0300000000000011,1,0,0,0,0,0,0,0,0
"29",2024-02-16,51.31,185945,51.54,"$51.63","$51.23",0.229999999999997,1,0,0,0,0,0,0,0,0
"30",2024-02-15,51.47,117457,51.46,"$51.69","$51.42",-0.00999999999999801,0,0,0,0,0,0,0,0,0
"31",2024-02-14,51.33,940052,51.46,"$51.49","$51.29",0.130000000000003,1,0,0,0,0,0,0,0,0
