"","Date","Close.Last","Volume","Open","High","Low","change","change_cat","moon","slash","plus","star","two","lunar","solar","flare"
"1",2024-03-28,47.88,7587826,47.18,"$47.995","$47.11",-0.700000000000003,0,0,0,0,0,0,0,0,0
"2",2024-03-27,47.24,10931170,45.69,"$47.48","$45.62",-1.55,0,0,0,0,0,0,0,0,0
"3",2024-03-26,45.42,8598605,45.03,"$45.90","$44.85",-0.390000000000001,0,0,0,0,0,0,0,0,0
"4",2024-03-25,44.89,13422380,45.05,"$45.11","$43.541",0.159999999999997,1,1,1,0,0,0,1,0,0
"5",2024-03-22,46.47,4994423,46.51,"$46.79","$46.1385",0.0399999999999991,1,0,0,0,0,0,0,0,0
"6",2024-03-21,46.63,5582809,46.11,"$46.685","$45.93",-0.520000000000003,0,0,0,0,0,0,0,0,0
"7",2024-03-20,45.98,8628300,43.64,"$45.99","$43.41",-2.34,0,0,0,0,0,0,0,0,0
"8",2024-03-19,43.91,5175525,43.63,"$44.06","$43.325",-0.279999999999994,0,0,0,0,0,0,0,0,0
"9",2024-03-18,43.55,5685381,43.62,"$43.71","$42.50",0.0700000000000003,1,0,0,0,0,0,0,0,0
"10",2024-03-15,43.62,9156519,42.795,"$43.69","$42.78",-0.824999999999996,0,0,0,0,0,0,0,0,0
"11",2024-03-14,42.85,7293490,42.91,"$43.00","$41.99",0.0599999999999952,1,0,0,0,0,0,0,0,0
"12",2024-03-13,43.035,7885380,41.91,"$43.33","$41.86",-1.125,0,0,0,0,0,0,0,0,0
"13",2024-03-12,42.17,12149760,42.67,"$42.80","$40.83",0.5,1,0,0,0,0,0,0,0,0
"14",2024-03-11,42.89,7371000,42.83,"$43.07","$42.53",-0.0600000000000023,0,0,0,0,0,0,0,0,0
"15",2024-03-08,43.3,7734113,44.11,"$44.51","$43.23",0.810000000000002,1,0,0,0,0,0,0,0,0
"16",2024-03-07,44.12,5597183,44.09,"$44.718","$44.02",-0.029999999999994,0,0,0,0,0,0,0,0,0
"17",2024-03-06,44.07,5927695,44.1,"$44.825","$43.815",0.0300000000000011,1,0,0,0,0,0,0,0,0
"18",2024-03-05,43.74,6078318,43.73,"$44.03","$43.4107",-0.0100000000000051,0,0,0,0,0,0,0,0,0
"19",2024-03-04,44.14,10628810,44.59,"$45.18","$43.63",0.450000000000003,1,0,0,0,0,0,0,0,0
"20",2024-03-01,44.84,7289437,45.61,"$45.73","$44.375",0.769999999999996,1,0,0,0,0,0,0,0,0
"21",2024-02-29,45.49,6997020,45,"$45.6699","$44.9319",-0.490000000000002,0,0,0,0,0,0,0,0,0
"22",2024-02-28,44.76,6146208,44.43,"$45.13","$44.40",-0.329999999999998,0,0,0,0,0,0,0,0,0
"23",2024-02-27,44.9,6902909,45.39,"$45.52","$44.55",0.490000000000002,1,0,0,0,0,0,0,0,0
"24",2024-02-26,44.97,6694530,45.47,"$46.25","$44.97",0.5,1,0,0,0,0,0,0,0,0
"25",2024-02-23,45.51,6576111,45.11,"$45.78","$44.9611",-0.399999999999999,0,0,0,0,0,0,0,0,0
"26",2024-02-22,45.26,9335800,44.45,"$45.88","$44.39",-0.809999999999995,0,0,0,0,0,0,0,0,0
"27",2024-02-21,44.05,9333271,43.11,"$44.106","$42.89",-0.939999999999998,0,0,0,0,0,0,0,0,0
"28",2024-02-20,43.46,12298960,41.68,"$43.72","$41.68",-1.78,0,0,0,0,0,0,0,0,0
"29",2024-02-16,41.99,6985446,42.26,"$42.54","$41.61",0.269999999999996,1,0,0,0,0,0,0,0,0
"30",2024-02-15,42.83,6694584,43.33,"$43.685","$42.57",0.5,1,0,0,0,0,0,0,0,0
"31",2024-02-14,42.83,7489308,41.87,"$43.01","$41.702",-0.960000000000001,0,0,0,0,0,0,0,0,0
"32",2024-02-13,41.62,9501041,41.87,"$42.38","$41.14",0.25,1,0,0,0,0,0,0,0,0
"33",2024-02-12,43.02,7376567,42.15,"$43.29","$42.09",-0.870000000000005,0,0,0,0,0,0,0,0,0
"34",2024-02-09,42.33,9216150,42.86,"$43.035","$41.595",0.530000000000001,1,0,0,0,0,0,0,0,0
"35",2024-02-08,41.62,7406130,41.21,"$41.66","$40.44",-0.409999999999997,0,0,0,0,0,0,0,0,0
"36",2024-02-07,41.28,6535025,41.23,"$41.64","$40.8199",-0.0500000000000043,0,0,0,0,0,0,0,0,0
"37",2024-02-06,41.23,6553596,39.86,"$41.30","$39.71",-1.37,0,0,0,0,0,0,0,0,0
"38",2024-02-05,40.01,8629109,40.76,"$40.83","$39.98",0.75,1,0,0,0,0,0,0,0,0
"39",2024-02-02,41.37,5737761,41.32,"$41.54","$40.90",-0.0499999999999972,0,0,0,0,0,0,0,0,0
"40",2024-02-01,41.5,7493166,41.69,"$42.08","$40.37",0.189999999999998,1,0,0,0,0,0,0,0,0
"41",2024-01-31,41.38,7855875,41.4,"$42.4585","$40.86",0.019999999999996,1,0,0,0,0,0,0,0,0
"42",2024-01-30,41.66,5264197,41.76,"$42.18","$41.57",0.100000000000001,1,0,0,0,0,0,0,0,0
"43",2024-01-29,42.09,7935230,42.5,"$42.87","$42.01",0.409999999999997,1,0,0,0,0,0,0,0,0
"44",2024-01-26,42.55,6921386,43,"$43.56","$42.32",0.450000000000003,1,0,0,0,0,0,0,0,0
"45",2024-01-25,42.96,14659330,42.09,"$43.10","$41.78",-0.869999999999997,0,1,0,0,0,0,0,0,0
"46",2024-01-24,40.84,8524229,41.06,"$41.35","$40.48",0.219999999999999,1,0,0,0,0,0,0,0,0
"47",2024-01-23,40.49,30849060,41.015,"$42.32","$39.771",0.524999999999999,1,0,0,0,0,0,0,0,0
"48",2024-01-22,38.45,17254370,39.26,"$39.49","$38.2323",0.809999999999995,1,0,0,0,0,0,0,0,0
"49",2024-01-19,38.82,9734201,39.72,"$39.75","$38.56",0.899999999999999,1,0,0,0,0,0,0,0,0
"50",2024-01-18,39.77,11183790,38.05,"$39.83","$37.882",-1.72000000000001,0,0,0,0,0,0,0,0,0
"51",2024-01-17,37.88,9483430,38.46,"$38.83","$37.68",0.579999999999998,1,0,0,0,0,0,0,0,0
